,intitule,lieu,date,nom_entreprise,description,lien
84,Chef de projet Digital - Data - BI - RPA h/f,lyon ,2022-02-02,Selescope,"Chef de projet Digital, vous portez l'offre DATA auprès de nos clients. Vous intervenez sur des sujets de RPA, industrie 4.0, plateforme DataViz, (datalake) etc. Vous prenez la responsabilité de projets de transformation digitale auprès de nos clients. Vous intervenez sur des projets multi-secteurs dans un environnement à forte compétence fonctionnelle et technologique. Vous gérez des opérations complexes intégrant plusieurs dimensions (conseil, développement software, intégration de progiciels, maintenance évolutive, rénovation, conduite du changement.).

 

Vous optimisez les stratégies data et architecture des référentiels de données de nos clients en anticipant les évolutions métiers. Vous dialoguez avec les directions SI des entreprises pour comprendre les grands axes de développement stratégique.

 

Vous participez au choix de la solution en lien avec la maitrise d'ouvrage ou technique.

Votre expertise vous permet de garantir et d'assurer la qualité, les budgets et le respect des délais pour l'ensemble des projets qui vous seront confiés

En tant que pilote et Chef d'orchestre, vous intervenez sur des phases d'avant-vente aux cotés de l'équipe technique.

Votre rôle comprend une forte dimension RH : gestion d'équipes (5 à 10 P), suivi et développement des talents, .
De formation supérieure, vous possédez entre 5 et 10 ans d'expérience sur la conduite de projets digitaux au forfait, idéalement dans notre secteur d'activité (conseil et services informatiques / ESN / intégrateur de solutions / éditeur de logiciels), nous sommes ouverts aux profils issus de clients finaux.

 

Vous êtes par exemple consultant, chef de projet, directeur de projet et souhaitez donner un nouvel élan à votre carrière. Votre connaissance d'un secteur d'activité en particulier ne vous limitera pas. Vous aurez l'opportunité d'en découvrir d'autres.

 

Au-delà de votre expérience, votre personnalité et votre potentiel feront la différence : Rigueur, recul, sens de l'engagement, fortes capacités d'analyse et synthèse, posture de conseil.

 

Nous vous proposons : 

- des projets passionnants, au cœur des enjeux stratégiques de nos clients,

- de travailler au sein d'une équipe soudée, passionnée, dans la bonne humeur.

- d'intégrer une structure à taille humaine en forte croissance, aux valeurs fortes,

- de réelles possibilités de développement personnel et professionnel.

 

Poste basé à Lyon (Télétravail envisageable 1 à 2 jours par semaine).

Rémunération Fixe + Variable + TR + Mutuelle ",https://candidat.pole-emploi.fr/offres/recherche/detail/8700426
85,Data Steward H/F,clermont ferrand,2022-02-02,La montagne,"Rattaché(e) au Responsable BI, vous travaillerez en étroite collaboration avec les Analystes, Data owner et Data architect afin de définir et participer aux projets d'automatisation (de la création à la maintenance ) de notre base de données analytique.

 

Vous jouerez un rôle important dans l'orchestration de notre Data governance et Data quality.

 

Vos objectifs principaux seront de :

 * développer et maintenir le niveau de confiance en la donnée chez nos clients internes.
 * d'assurer un accès et une utilisation optimisée - sûre et qualitative - de la donnée.

Pour cela, vous organiserez notre base de données au travers de vos actions de coordination de la donnée :

 * Identifier et documenter chaque élément de manière intelligible (maintenance Data catalog)
 * Définir et veiller au respect des normes (convention de nommage, d'usage etc...)
 * Proposer des formats de documents techniques et métiers adaptés
 * Assurer l'unicité de la donnée
 * Piloter sa fiabilité (provenance, niveau de confiance)
 * Veiller à sa validité (rafraichissements, obsolescence)
 * Définir les traitements correctifs et/ou préventifs visant à assurer la qualité et complétude de celle-ci
 * Créer, analyser et modifier les structures de données et ses vues en fonction des évolutions de l'environnement et des besoins métiers.
Nous recherchons un véritable expert de la fonction, qui pourra construire avec nous notre projet.

 

Vous avez une formation en école d'ingénieur ou école d'informatique.

Vous avez une expérience confirmée, au moins 6 ans sur un poste similaire.

 

Vous êtes reconnu(e) pour :

 * Votre maîtrise des technologies et solutions de traitements de données.
 * Votre Forte expertise le stockage de données et les outils ETL,
 * Votre Connaissance des méthodologies de gestion de projet.

La connaissance de Denodo et Tableau est un plus.

 

On dit de vous que vous :

 * avez un excellent relationnel, vous permettant d'échanger efficacement et agréablement avec toutes les équipes
 * êtes autonome sur cette fonction
 * êtes rigoureux et organisé
 * avez le sens de la qualité
 * avez un esprit analytique et de synthèse
 * êtes proactif et réactif

Voici quelques informations complémentaires :

 * Poste en CDI
 * Poste basé à Clermont-Ferrand
 * Télétravail possible jusqu'à 2 jours par semaine, selon nécessités du service
 * Rémunération proposée : entre 43 000 et 48 000 € annuels, en fonction de votre expertise.

Arrivé(e) jusqu'ici, vous semblez intéressé(e) ! Comment faire pour postuler maintenant ?

 * Envoyez nous votre plus beau CV via notre formulaire
 * Vous serez contacté(e) par notre service Développement RH pour un entretien téléphonique afin d'échanger sur votre recherche et nos offres.
 * Vous rencontrerez ensuite David, Antony et Cédric, vos futurs managers et collègues, afin d'échanger sur votre parcours, vos projets professionnels et notre future collaboration.
 * Si vous avez franchi ces étapes avec succès, vous échangerez ensuite avec un(e) membre de l'équipe Développement RH.
 * Finalement, si nous avons confirmé notre envie de travailler ensemble, nous vous intégrerons dans notre équipe !

Vous souhaitez en savoir plus ? Vous pouvez contacter Justine par mail :  

 

Conscient de la richesse apportée par la diversité, notre groupe s'engage en faveur de l'égalité des chances et étudie avec la plus grande attention toutes les candidatures y compris celles des personnes en situation de handicap et leurs éventuels besoins spécifiques. ",https://candidat.pole-emploi.fr/offres/recherche/detail/8699829
86,Data Scientist (Green IT) (H/F),rillieux la pape,2022-02-01,AK RECRUTEMENT,"	
Au sein d'une société ETI dans le domaine de l'IT (Bureautique, Cloud et Logiciels), vous aurez pour mission d'aider au développement informatique d'un outil de mesure et de réduction de l'empreinte carbone dans le domaine du numérique en collaboration avec l'équipe GREEN IT. 

Vous aurez pour missions : 

Gestion du projet Calculatrice Carbone du point de vue informatique.
Déterminer et développer l'architecture de l'outil jusqu'à finalisation et mise en place concrète de l'outil de mesure.
Identification et gestion du flux d'info « Empreinte Carbone » de l'entreprise ; création de bases de données, connexion des flux dans les outils de pilotage et développement d'outils BI en propre.
Travailler à la mise en place d'un algorithme de calcul en « back end » IT et à la montée en compétence du groupe sur les sujets « carbone » et développement durable en général.
Construire une relation de proximité avec les différents départements.
Contribuer au développement de la Business Unit Green IT et à la montée en compétence du groupe sur les sujets « carbone » et développement durable en général.

	
De formation supérieur de niveau Bac+5, vous avez au minimum 2 ans d'expérience professionnelle en Data Sciences et Développement. 
Vous avez également des compétences en management, modélisation et extrapolation de données. 
Vous maitrisez la technologie ETL et les systèmes d'information. 
Vous savez travailler en méthode Agile (Scrum). 
Vous avez une capacité à travailler à un niveau macro et micro, vous possédez une réelle autonomie et capacité à avoir une vision globale des flux d'information et de leur gestion.

Vous êtes positif adoptant une posture en faveur de la RSE et du business, avec une volonté de s'investir sur des projets porteurs et ayant du sens. 

Les avantages : Contrat CDI + Salaire entre 35k et 45k en fonction du profil + Restaurant d'entreprise + salle de sport + formation continue + forte possibilité d'évolution. ",https://candidat.pole-emploi.fr/offres/recherche/detail/127JGHP
87,Reconversion - Data Engineer     (H/F),lyon ,2022-02-01,CAPGEMINI TECHNOLOGY SERVICES,"Vous êtes demandeur d'emploi et titulaire d'un Bac +5 dans une filière scientifique (physique, chimie, mécanique, biologie, mathématiques...) ou d'un diplôme d'ingénieur et vous avez déjà des bases en programmation et une forte appétence en informatique.

Postes à pourvoir en CDI sur Lyon à l'issue de la formation. 

Vous souhaitez réorienter votre carrière vers un secteur recherché ?

Nous vous proposons de vous intégrer à un programme de formation data / digital afin d'acquérir des compétences clés dans le domaine de l'informatique.

Pour cela, vous intégrerez un cursus de 57 jours  avec au programme :

- Initiation au monde de l'informatique (Methode Agile, Algorithmie, programmation..)

- De la base de donnée, avec SQL, NoSql

- Des compétences métier : Spark, Hadoop, Docker, PowerBi ..

Démarrage de la formation prévu le 14/03/2022 en ligne. 

Les missions qui vous seront confiées avec notre partenaire Sogeti à l'issue de ce programme de formation sont variées et à même de réaliser différents projets pour des clients grands comptes.

En tant que Consultant Data, votre principale responsabilité sera d'intégrer une des équipes projet de développement et poursuivre votre montée en compétences autour des technologies/méthodologies digitales.

Vos compétences techniques consolidées durant la formation vous permettront de vous adapter aux différents projets auxquels vous participerez.

Votre sens du service, votre esprit d'équipe, votre autonomie et votre relationnel sont des atouts essentiels qui vous permettront de mener à bien les missions qui vous seront confiées et d'évoluer rapidement au sein de Sogeti.",https://candidat.pole-emploi.fr/offres/recherche/detail/127HWPH
88,Data Quality & Process Analyst F/H,ecully,2022-01-31,INSTITUT PAUL BOCUSE,"Dans le cadre d'une création de poste, nous sommes à la recherche d'un(e) Data Quality & Process Analyst pour intégrer notre équipe du service informatique.
Votre rôle est d'assurer l'analyse, l'intégrité, l'évaluation, le traitement et la restitution des données au sein du système d'informations de l'Institut Paul Bocuse.
Vos missions principales sont :
- Collecter, qualifier, analyser et fiabiliser les données
- Modéliser et actualiser les bases de données de l'entreprise
- Analyser les processus afférents aux données et les améliorer
- Assurer le développement et la publication des rapports restituant les données
- Faciliter la prise de décision grâce à la présentation d'informations accessibles aux dirigeants
- Participer aux projets d'amélioration d'outils et processus liés aux données
- Assister les utilisateurs et assurer des formations au besoin
- Rédiger et maintenir à jour les documentations utilisateurs et techniques
- Assurer une veille technologique afin d'identifier de nouveaux outils visant à améliorer le traitement des données

Une expérience dans le secteur de l'éducation est un réel atout.
Vous êtes issu(e) d'une formation supérieure d'école d'ingénieur ou d'université spécialisée dans la gestion de systèmes d'information.
",https://candidat.pole-emploi.fr/offres/recherche/detail/127HKBG
89,DATA ANALYST PRICING SUPPORT (H/F) (IT),grenoble,2022-01-31,Unknow,"Au sein d'un grand acteur d'énergie, le data Pricing Support monitore au quotidien la qualité, complétude et intégrité des données prix qui transitent entre les différents systèmes d'information de France Opérations.
Il s'appuie sur des données fournies et travaillées en amont par notre service BI pour piloter ce monitoring et alerter les différents acteurs pour correction des anomalies.
Missions: 
- Il a pour mission de charger, contrôler et valider les fichier de mise à jour des master data prix.
- S'assurer de la production de fichiers de chargement de données Pricing dans nos différents S.I
- Contrôler et valider l'intégrité des données chargées dans nos Systèmes afin de confirmer sa bonne mise en production
- Accompagner le service BI à l'automatisation et sécurisation du processus de chargement de donnée
- Être le back up du Data Pricing Analyst pour le monitoring des données prix et leur analyse
- Assurer le processus de gestion des demandes et incidents
- Monitorer les écarts de données prix des systèmes d'info métiers
- Alerter les acteurs métier en cas d'écarts de master data prix et s'assurer de la correction menée sur le long terme
- Piloter des actions proactives permettant d'informer les métiers sur nos écarts prix potentiels ",https://candidat.pole-emploi.fr/offres/recherche/detail/8619875
90,Data Engineer (H/F) (IT),69,2022-01-31,Unknow,"Mise en contexte :
Nous recherchons pour l'un de nos clients un(e) Data Engineer
Principales missions :
Collecte de données via API depuis les bases de nos clients (exemple : connexion à la base de données d'AMAZON en cours)
Transformation de ces données et leur cleaning avec Spark/Scala
Stockage S3 (Cloud AWS).
TTV: 2 à 3 jours par semaine. ",https://candidat.pole-emploi.fr/offres/recherche/detail/8619055
91,Recetteur / Testeur informatique (F/H),oyonnax,2022-01-31,RANDSTAD SEARCH,"- Créer et gérer les données de bases sur SAP
- Concevoir et suivre les indicateurs de traitement des demandes création/modification des
données,
- Mettre en place les outils et procédures de contrôle et validation des données, afin d'en
garantir la fiabilité
- Auditer périodiquement les master data pour s'assurer de la qualité, la conformité des
données,
- Concevoir, optimiser et documenter les procédures de cycle de vie des master data et
sensibiliser les parties prenantes.
Au sein du groupe Aptar, notre futur responsable master data développera un réseau et
représentera le site d'Oyonnax auprès de ses homologues des autres sites européens",https://candidat.pole-emploi.fr/offres/recherche/detail/127HJBX
92,Architecte BI/Data (IT) (H/F),69,2022-01-28,Unknow,"En tant qu'Architecte et Conseil, dans les domaines Data et Business Intelligence, vous serez amené à travailler sur des projets d'envergure mettant à l'épreuve votre expérience des systèmes de données et votre ouverture vers les technologies de BI moderne et cloud.
 
Votre rôle d'architecte et de conseil auprès de nos clients trouvera son sens dans la compétence que pourrez apporter autour des solutions Microsoft (Power BI, Azure.), et aussi dans la connaissance globale que vous aurez acquise par vos expériences variées. Cette combinaison compétence/expérience aura pour but d'orchestrer l'implémentation des technologies Microsoft dans des systèmes d'information et décisionnels technologiquement hétérogènes.
 
Votre passion, votre curiosité et votre envie sont les maîtres mots pour réussir dans ce poste. Vous êtes motivé pour travailler dans un environnement dynamique où la donnée se décline autour de nos projets innovants (IoT, Industrie 4.0, IA.). Vous avez une vision claire des enjeux actuels autour de la donnée.
 
Selon les missions vous serez amené à :
 Accompagner nos clients dans leur stratégie digitale
 Animer des ateliers d'architecture technique
 Appréhender les besoins fonctionnels et les contraintes techniques du client
 Préconiser des architectures complexes pour répondre à une problématique ou un besoin métier
 Définir et améliorer les standards, patterns d'architecture et le catalogue de services
 Superviseretmettre en œuvre,dansle cadredesprojets,lespréconisations techniquesétabliesdansle cadredescahiersdes charges 
 Réaliser l'architecture de données dans des environnements on Premise
 Intervenir sur l'architecture Azure data
 Rédiger les documents associés (HLD, LLD, etc.)
 Piloter des projets et des hommes
 Intervenir en toute autonomie sur les phases de cadrage technique et/ou avant ventes
 Assurer une veille technologique ",https://candidat.pole-emploi.fr/offres/recherche/detail/8566874
93,Ingénieur data (H/F),st priest,2022-01-28,Unknow,"Description du poste

Ingénieur data (H/F)

 

Adsearch recrute pour son client, acteur majeur de l'industrie basé à Lyon, un ingénieur data en CDI.

Rejoignez une structure innovante en terme de management, de procédures et de produits, qui vous proposera de beaux projets avec le budget nécessaire et une montée en compétences constante.

 

Vos missions :

Participer aux spécifications techniques pour les phases de data préparation et data visualisation

Apporter son support dans la réalisation des projets et participer aux phases de test et de déploiement

Contribuer aux différents projets de data science

 

Votre profil

Bac+5 ingénieur/informatique

Expérience en tant qu'ingénieur data (idéalement en Cloud Azure)

Connaissance du fonctionnement d'une équipe DevSecOps

Anglais courant (langue de travail)

 

Le poste

CDI

Rémunération attractive selon profil et expérience + avantages d'un grand groupe

Télétravail partiel

Environnement agréable, prônant la bonne ambiance, la montée en compétence et le bien être ",https://candidat.pole-emploi.fr/offres/recherche/detail/8565935
94,Data Engineer F/H (H/F),grenoble,2022-01-24,DIABELOOP,"Vous intégrerez l'équipe Data Tools (composée aujourd'hui de 6 personnes) dont la mission est de fournir aux équipes de Diabeloop les données et les outils nécessaires pour leurs travaux : recherche médicale, amélioration des algorithmes physiologiques, investigation des plaintes, etc 
Aujourd'hui l'équipe travaille sur la mise en place de son lac de données destiné à être la pierre angulaire de toutes ces activités internes de data science et de data analysis. 
En parallèle, l'équipe travaille également sur le développement d'outils d'analyse et de reporting. 
Les technologies que nous utilisons sont, principalement :
- Cloud AWS
- Spark (et AWS Glue)
- python (avec pandas et bokeh notamment)
En tant que Data Engineer, votre rôle consistera à travailler sur la mise en place du lac et l'optimisation des processus d'alimentation. Au-delà de l'optimisation, nous avons besoin également de travailler sur la partie sécurisation et mise à disposition des données, soit par le biais d'outils, soit par le biais de services types API. Également, nous prévoyons d'ajouter de nouveaux types de données dans le lac.
Rattaché(e) à l'équipe, votre mission consistera à :
- Apporter votre expertise en data engineering, plus particulièrement en Spark
- Aider à la mise en place du lac
- Proposer des axes d'amélioration

Compétences techniques
- Spark (batch processing) - 2/3 années d'expérience
- Python
- AWS (Glue, S3)
- Linux (bash etc )
 
Les qualités essentielles pour le poste
- Esprit d'équipe
- Initiative
- Propositions techniques
 
Non requis mais appréciable
- Autres services AWS (Lambda, Athena, Lake Formation)
- Terraform
- SQL/NoSQL

DÉROULEMENT DES ENTRETIENS (à adapter en fonction du recrutement)
- Echange avec Céline, Talent Acquisition Specialist
- Rencontre avec une ou plusieurs personnes de l'équipe Data Tools
- Potentiellement test de validation technique
",https://candidat.pole-emploi.fr/offres/recherche/detail/126XNYQ
95,Chef de projet Master Data (H/F),messimy,2022-01-24,Unknow,"Description du poste

Chef de projet master data (H/F)

 

Adsearch, cabinet de conseil en recrutement, vous propose un poste de chef de projet Master Data, chez son client final basé dans l'ouest lyonnais.

 

Les missions

Analyse des besoins métier et formulation fonctionnelle auprès des équipes IT

Gestion de projet pour la mise en place des évolutions des solutions applicatives

S'assurer de la conformité de la solution en participant à la recette et au processus de validation

Assurer le support à destination des gestionnaires de données et des administrateurs applicatifs

 

Profil

Formation supérieure master/ingénieur informatique/industriel

Expérience significative dans la gestion de données et la gestion de projet transverses dans le secteur de l'industrie, idéalement pharmaceutique

Anglais technique

 

Le poste

CDI dans l'ouest lyonnais

40/45k€ selon profil ",https://candidat.pole-emploi.fr/offres/recherche/detail/8339557
96,Data Architecte (H/F) en CDI,st fons,2022-01-24,Unknow,"Description du poste

Data Architecte (H/F)

Adsearch recrute pour son client, acteur majeur de l'industrie basé à Lyon, un Data architecte en CDI :

Les missions :

 * Organisation des données par domaine puis en modèle à destination des applications de données
 * Concevoir, développer et délivrer un modèle de données standard pour les applications métier et définir des règles métier pour la création d'une politique de qualité des données
 * Concevoir et déployer des solutions pour collecter, organiser, fournir et stocker la donnée
 * Concevoir l'architecture des données et participer à l'élaboration des lignes directrices en terme de gestion de données.

Votre profil :

 * De formation supérieure type Bac+5 informatique ou ingénieur
 * Vous avez une expérience significative dans la construction de solutions BI
 * Bonnes connaissances des solutions BI : ETL (Talend), Data Warehouse solution, Google Cloud data plateforme,
 * Connaissances fonctionnelles en matière de données financières et comptables
 * Anglais courant requis (réunions de travail en anglais)

Le poste :

 * CDI
 * Rémunération 70k€ selon profil + variable (10%) ",https://candidat.pole-emploi.fr/offres/recherche/detail/8334432
97,Data analyst (H/F),st priest,2022-01-24,Unknow,"Description du poste

Data analyst (H/F)

 

Adsearch recrute pour son client, acteur majeur de l'industrie basé à Lyon, un data analyst en CDI.

Rejoignez une structure innovante en terme de management, de procédures et de produits, qui vous proposera de beaux projets avec le budget nécessaire et une montée en compétences constante.

 

Vos missions :

Participer au recueil des besoins métiers (data preparation et data visualisation) et de les traduire en spécification technique

Apporter un support aux projets BI & Analytics pendant les phases de réalisation assurées par les data engineers, data scientists et data architects

Participer aux phases de tests et de déploiements des solutions BI & Analytics

Participer au développement de prototypes

Construire des modèles de données et utiliser les sources d'alimentations nécessaires pour produire des rapports

 

Votre profil

Bac+5 ingénieur/informatique

Expérience en tant que data analyst (idéalement en environnement Cloud Azure)

Connaissance du fonctionnement d'une équipe Agile

Anglais courant (langue de travail)

 

Le poste

CDI

Rémunération attractive selon profil et expérience + avantages d'un grand groupe

Télétravail partiel

Environnement agréable, prônant la bonne ambiance, la montée en compétence et le bien être ",https://candidat.pole-emploi.fr/offres/recherche/detail/8329131
98,Freelance - Chef de projet Data & Bi (H/F),l horme,2022-01-24,Unknow,"Description du poste

 * Planifier et prioriser les projets sur son périmètre
 * Intervenir en tant que référent Data/BI
 * Réalisation des projets de Data Analytics
 * Coordonner les différentes parties prenantes des projets (métiers, IT)
 * Construire et faire évoluer les rapports issus de la Business Intelligence (BI) à travers des outils de Data Visualisation afin de permettre aux métiers d'avoir une vision cohérente sur leur activité.
 * Contrôler la pertinence et la qualité des différentes demandes, les analyser et piloter/prioriser/réaliser les modifications des données en s'assurant de la cohérence globale et en maîtrisant les impacts
 * Définir, analyser et maintenir l'architecture BI
 * Assurer la maintenance corrective et évolutive de l'existant, conseiller les choix techniques des bases de données et solutions BI en assurant leur pérennité et conformité avec la politique de sécurité SI
 * Gérer la relation avec le(s) prestataire(s) et le respect des SLA
Profil recherché
 * Expérence en chefferie de projet BI
 * Vous possédez une bonne expérience avec l'usage des outils ETL et Data Visualisation (Power BI, Cognos, Data Stage, maîtrise des langages de requêtes de type SQL, connaissance des plateformes cloud (Microsoft, IBM, .) ",https://candidat.pole-emploi.fr/offres/recherche/detail/8327909
99,Data Analyst pricing DCF 42/LOD- F/H (H/F),st etienne,2022-01-23,Unknow,"Le Groupe Casino occupe en France une
position de leader dans le secteur de la grande distribution grâce à la
diversité de ses enseignes : Géant, Monoprix, Supermarchés Casino, Franprix,
Petit Casino, CDiscount, GreenYellow, Naturalia. et à une présence affirmée à
l'international : Argentine, Brésil, Colombie, Uruguay...
La Diversité du Groupe trouve aussi son
expression dans notre politique de recrutement qui privilégie l'égalité des
chances et la diversité des individus au sein de nos équipes.
Casino, c'est aussi une stratégie
d'innovation et de développement avec de nombreuses réalisations : la Marque
Casino forte de plus de 4000 références, l'excellence de la Supply Chain, les
outils d'analyse des comportements clients et les programmes de fidélisation,
le développement de stratégies immobilières performantes.
En 2020, son chiffre d'affaires s'est élevé à
plus de 31,9 milliards d'euros et son effectif à plus de 205 000
collaborateurs dans le monde dont 56 000 en France.
Au sein de la Direction Prix et, rattaché(e) au Responsable
du pôle, vous aurez pour principales responsabilités de :
- Contribuer à la mise en œuvre d'outils innovants et stratégiques, pour répondre rapidement aux besoins des équipes Pricing et de la direction
:
- Identifier et analyser les
besoins et problématiques (analyses de marchés, contrôles d'anomalies...) ,
- Définir les solutions techniques les plus
adaptées,
- Réaliser les développements, la
maintenance des outils et leurs synergies,
- Former et accompagner les
équipes pricing aux outils et à la solution dans l'objectif de développer l'autonomie du service
- Gérer les environnements techniques,
- Bases de données (MariaDB),
- Intranet interne du service
pour synthétiser les données (HTML, PHP, JavaScript),
- Suivi des tâches quotidiennes.
- Etre en capacité d'extraire des données provenant des
différents systèmes d'information.
- Participer au chiffrage et à l'analyse des différentes
actions Prix
- Contribuer à la construction et
à la mise en place des actions,
- Mise en œuvre des fichiers de
travail et des synthèses.
Poste proposé en statut Cadre
Formation
attendue Niveau BAC+3 à BAC+5 Ingénieur/ informaticien
- Première
expérience un poste similaire, y compris alternance ou stage longue durée.
- Maitrise indispensable de SQL et solides connaissances sur les langages de programmation (VBA, C) ainsi que sur html.
- Expertise
sur les outils Excel / Access
- Sens du
contact et du travail en équipe.
- Etre force
de proposition
- Une
connaissance des environnements Teradata / Oracle est un plus.- Sens de
l'adaptation et polyvalence.
- Ce poste nécessite d'avoir une appétence certaine pour le secteur d'activité ""Commerce"" et même temps de très bonnes compétences informatiques sur les outils cités précédemment.
La Diversité trouve toute son expression dans la politique de recrutement du Groupe Casino qui privilégie l'égalité des chances et la diversité des individus au sein de ses équipes. ",https://candidat.pole-emploi.fr/offres/recherche/detail/8227326
100,Data architect Cloud (H/F),st priest,2022-01-23,Unknow,"Description du poste

Data architect Cloud (H/F)

 

Adsearch recrute pour son client, acteur majeur de l'industrie basé à Lyon, un Data architecte en CDI.

Rejoignez une structure innovante en terme de management, de procédures et de produits, qui vous proposera de beaux projets avec le budget nécessaire et une montée en compétences constante.

 

Vos missions :

Traduire les besoins métier en architecture data

Définir des solutions techniques avec les équipes BI et apporter son support dans la réalisation des projets

Participer à l'évolution de la plateforme Cloud (Azure)

 

Votre profil

Bac+5 ingénieur/informatique

Expérience en tant qu'architecte data (idéalement en Cloud Azure)

Connaissance du fonctionnement d'une équipe DevSecOps

Anglais courant (langue de travail)

 

Le poste

CDI

Rémunération attractive selon profil et expérience + avantages d'un grand groupe

Télétravail partiel

Environnement agréable, prônant la bonne ambiance, la montée en compétence et le bien être ",https://candidat.pole-emploi.fr/offres/recherche/detail/8227087
101,Data analyst - parc photovoltaïque (H/F),69,2022-01-23,Unknow,"Description du poste 
Type de contrat :CDI
Filiale du groupe EDF, EDF ENR est leader en France dans le domaine du photovoltaïque sur toitures (près de 40000 générateurs installés chez une clientèle de particuliers, d'industriels, d'agriculteurs et de collectivités; 2000 centrales photovoltaïques monitorées en France et à l'étranger, de 36 kW à 6 MW)
Acteur majeur du développement de la transition énergétique, EDF ENR contribue au projet stratégique CAP 2030.
Pour plus d'informations, n'hésitez pas à visiter notre site https://www.edfenr.com
Actuellement, nous recherchons pour notre Service Exploitation un(e) DATA ANALYST : au sein du Centre de contrôle, vous êtes en charge de surveiller, d'améliorer la performance des actifs, d'apporter un support technique à nos clients et à nos Gestionnaires d'Actifs, et de participer à la mise en place des nouveaux outils et processus.
Rattaché(e) au Responsable Exploitation, vos missions consistent à :
- Extraction et traitement des données :
- Recueillir, traiter et analyser les données relatives à l'activité de production d'énergie photovoltaïque,
- Déterminer les outils et méthodes d'acquisition de données,
- Maîtriser la qualité des données tout au long de leur traitement.
- Optimisation de la stratégie de l'entreprise :
- Contrôler la qualité et la cohérence des bases de données,
- Faciliter l'optimisation de la stratégie de l'entreprise,
- S'assurer de l'utilisabilité des données par les utilisateurs finaux.
- Développement d'outils :
- Recueillir les besoins internes,
- Définir des KPIs de performance et mettre en place des dashboards (une connaissance de l'outil tableau serait un plus),
- Concevoir, réaliser et produire des outils de pilotage,
- Mettre en place et présenter les reportings quotidiens, mensuels sur la performance des centrales,
- Accompagner les équipes dans l'utilisation des données et des outils associés.
Critères du poste 
De formation supérieure en Data, vous êtes passionné(e) par la Data.
Vous disposez d'une bonne maitrise des langages d'exploration et de manipulation de données (SQL, PYTHON, DAX, VBA), des outils (AWS, TABLEAU) et moyens de restitution (PBY,PQY), et des outils bureautiques.Vous vous intéressez aux nouvelles tendances et aux nouveaux outils.
Vous savez travailler en équipe, avec rigueur, minutie et organisation.
Vous êtes reconnu pour votre aisance relationnelle, votre qualité d'écoute, votre capacité à mener des projets et votre sens du service. 
Poste en CDI
Disponibilité: immédiate
Localisation du poste : Limonest (69)
Conformément aux engagements pris par EDF ENR en faveur de l'insertion de personnes en situation de handicap, cette offre est ouverte à toutes et à tous.
Rejoindre EDF ENR, c'est :
- contribuer à un avenir énergétique responsable tout en relevant des défis passionnants,
- une opportunité de travailler dans un cadre dynamique et international, entouré d'experts,
- bénéficier d'une politique de rémunération attractive qui associe des dispositifs salariaux fixes et variables.
Vous êtes intéressé(e) ? transmettez-nous votre candidature (CV et lettre de motivation). ",https://candidat.pole-emploi.fr/offres/recherche/detail/8226694
102,Consultant H/F,vienne,2022-01-20,Unknow,"Nous recherchons pour notre agence TOMA INTERIM Vienne, un(e) consultant(e) d'agence Travail Temporaire sur les métiers du BTP et/ou de l'industrie.
Après une période d'intégration et de formation, vous aurez pour missions :
-L'organisation et le déroulement de l'action commerciale sur un portefeuille clients et prospects tout au long du processus de vente (ciblage, prospection, diagnostic, élaboration de l'offre, négociation et recouvrement)
-Le développement de l'activité Travail Temporaire, placement et formation sur ce même portefeuille
-Le recrutement : L'accueil, le sourcing, la sélection et le traitement efficace des commandes
-L'administratif : la création des DPAE, des contrats, la relance et la saisie des relevés d'heures jusqu'à la paie et la facturation
Vous êtes du secteur du Travail Temporaire ou non, du recrutement, de l'industrie ou du BTP avec une dimension commerciale et relationnelle forte ;
De formation Bac+2, vous avez le goût du défi ? Rejoignez nous !
TOMA INTERIM c'est un réseau national de 41 agences pour l'emploi, à taille humaine en pleine expansion depuis 15 ans.
Vous recherchez un emploi dans notre secteur d'activité et souhaitez nous rejoindre, contactez-nous ! ",https://candidat.pole-emploi.fr/offres/recherche/detail/8033051
103,Data scientist (H/F),lyon ,2022-01-19,COWORK ENGINEERING,"Nous accompagnons nos clients dans l'amélioration de leur procédé de fabrication par l'utilisation de la donnée récupérée tout au long de la chaine de fabrication. Ces données sont ingérées, transformées et contextualisées de manière à les rendre exploitables au travers d'un outil BigData développé par un partenaire. Vous contribuerez à :

La création de graphiques visant à extraire les informations recherchées par nos clients
L'analyse des relations entre les données grâce au moteur fournit par l'outil
La création de tables de données transformées
La rédaction de rapports réguliers
L'amélioration de l'outil et des bases sous-jacentes
Investissant fortement dans l'innovation, vous participerez également à la veille technologique et la réalisation de projets de faisabilité sur de futurs produits « Data » par l'utilisation d'outils open-source ou Cloud.

Compétences techniques et linguistiques :

Analyse de données
Langages : Javascript, Python, C#
Technologies : Node.js, RabbitMq, HTTP (SOAP, REST), InfluxDB, Grafana, suite Elastic
Notions sur Cloud Azure appréciées
Rigoureux(se), curieux(se), autonome et bon(ne) communiquant(e)
Anglais écrit / parlé",https://candidat.pole-emploi.fr/offres/recherche/detail/126RPVJ
